document,text
A,"Awal mula sejarah munculnya olahraga sepak bola masih mengundang perdebatan. Beberapa dokumen menjelaskan bahwa sepak bola lahir sejak masa Romawi, sebagian lagi menjelaskan bahwa sepak bola berasal dari Tiongkok. FIFA sebagai badan sepak bola dunia secara resmi menyatakan bahwa sepak bola lahir dari daratan Cina yaitu berawal dari permainan masyarakat Cina abad ke-2 sampai dengan ke-3 SM. Olah raga ini saat itu dikenal dengan sebutan “tsu chu “.Dalam salah satu dokumen militer menyebutkan, pada tahun 206 SM, pada masa pemerintahan Dinasti Tsin dan Han, masyarakat Cina telah memainkan bola yang disebut tsu chu. Tsu sendiri artinya “menerjang bola dengan kaki”. sedangkan chu, berarti “bola dari kulit dan ada isinya”. Permainan bola saat itu menggunakan bola yang terbuat dari kulit binatang, dengan aturan menendang dan menggiring dan memasukkanya ke sebuah jaring yang dibentangkan diantara dua tiang.Versi sejarah kuno tentang sepak bola yang lain datangnya dari negeri Jepang, sejak abad ke-8, masyarakat disana telah mengenal permainan bola. Masyarakat disana menyebutnya dengan: Kemari. Sedangkan bola yang dipergunakan adalah kulit kijang namun ditengahnya sudah lubang dan berisi udara."
B,"Turin - Rumor Cristiano Ronaldo ingin pergi dari Juventus dibenarkan oleh pelatih Massimiliano Allegri. Ronaldo disebut sudah tak mau bermain untuk Bianconeri. ""Kemarin, Ronaldo mengatakan kepada saya bahwa dia tidak lagi memiliki niat bermain untuk Juventus. Berdasarkan alasan itu dia tidak akan dipanggil untuk pertandingan besok,"" kata Allegri dalam konferensi pers jelang Juventus vs Empoli. Juventus vs Empoli berlangsung di Allianz Stadium, Minggu (29/8/2021) dini hari WIB. Ini adalah pekan kedua Liga Italia 2021/2022 dan Ronaldo pada pekan pertama main di babak kedua melawan Udinese dalam skor pertandingan yang berakhir 2-2. Manchester City santer dikabarkan sebagai pelabuhan Cristiano Ronaldo selanjutnya. Jorge Mendes juga disebut-sebut sudah melakukan pembicaraan dengan pihak The Citizens. Juventus menginginkan mahar di kisaran 28 juta euro sampai 30 juta euro dari Man City untuk membuka pintu keluar Ronaldo. Belum ada keterangan resmi apakah kedua pihak sudah sepakat dan Juve kabarnya juga menginginkan Gabriel Jesus. ""Segalanya berubah, ini adalah hukum kehidupan. Juventus tetap, yang merupakan hal terpenting. Ronaldo memberikan kontribusinya, dia membuat dirinya tersedia, sekarang dia pergi dan hidup terus berjalan,"" Allegri menegaskan. Juventus mendapatkan Ronaldo dari Real Madrid dengan biaya sekitar 100 juta euro. Kontraknya di Turin bakal habis pada musim panas tahun depan. Ronaldo sejauh ini tampil sebanyak 134 laga dengan mencetak 101 gol dan 22 assist. Pemain berusia 36 tahun itu juga berhasil meraih gelar top skor Liga Italia 2020/2021. Moise Kean dikabarkan menjadi pengganti Cristiano Ronaldo dikarenakan agen Mino Raiola sedang berada di markas Si Nyonya Tua. Juventus sebelumnya sudah menjual Kean ke Everton pada 2019."
C,"Jakarta, 16 Mei 2021
Penghentian sementara distribusi dan penggunaan vaksin AstraZeneca Batch (Kumpulan Produksi) CTMAV547 untuk pengujian toksisitas dan sterilitas oleh BPOM adalah bentuk upaya kehati-hatian pemerintah untuk memastikan keamanan vaksin ini. Tidak semua batch vaksin AstraZeneca dihentikan distribusi dan penggunaannya. Hanya Batch CTMAV547 yang dihentikan sementara sambil menunggu hasil investigasi dan pengujian dari BPOM yang kemungkinan memerlukan waktu satu hingga dua minggu. Batch CTMAV547 saat ini berjumlah 448,480 dosis dan merupakan bagian dari 3,852,000 dosis AstraZeneca yang diterima Indonesia pada tanggal 26 April 2021 melalui skema Covax Facility/WHO. Batch ini sudah didistribusikan untuk TNI dan sebagian ke DKI Jakarta dan Sulawesi Utara. Adapun terkait dengan laporan Kejadian Ikutan Pasca Imunisasi (KIPI) serius yang diduga berkaitan dengan AstraZeneca Batch CTMAV547, Komnas KIPI telah merekomendasikan BPOM untuk melakukan uji sterilitas dan toksisitas terhadap Kelompok tersebut dikarenakan tidak cukup data untuk menegakkan diagnosis penyebab dan klasifikasi dari KIPI yang dimaksud. Batch AstraZeneca selain CTMAV547 aman digunakan sehingga masyarakat tidak perlu ragu. “Ini adalah bentuk kehati-hatian pemerintah untuk memastikan keamanan vaksin ini. Kementerian Kesehatan menghimbau masyarakat untuk tenang dan tidak termakan oleh hoax yang beredar. Masyarakat diharapkan selalu mengakses informasi dari sumber terpercaya,” kata juru bicara Kementerian Kesehatan dr. Siti Nadia Tarmizi. “Penggunaan vaksin AstraZeneca tetap terus berjalan dikarenakan vaksinasi Covid-19 membawa manfaat lebih besar,” tambah beliau. Hingga saat ini, berdasarkan data Komnas KIPI belum pernah ada kejadian orang yang meninggal dunia akibat vaksinasi Covid-19 di Indonesia. Dalam beberapa kasus sebelumnya, meninggalnya orang yang statusnya telah divaksinasi COVID-19 adalah karena penyebab lain, bukan akibat dari vaksinasi yang diterimanya."
D,"Jakarta 2 Oktober 2021 – Hari ini, Indonesia kembali kedatangan vaksin Astrazeneca yang merupakan donasi dari pemerintah Perancis sebanyak 600.000 dosis. Dengan kedatangan tahap 83 ini, jumlah vaksin yang telah hadir di Indonesia baik dalam bentuk bulk maupun bentuk jadi adalah sebanyak 276,159,850 dosis. Duta Besar Perancis untuk Indonesia, Olivier Chambard mengatakan hari ini adalah penerimaan terakhir dari sekitar tiga juta dosis vaksin yang dikirim oleh Pemerintah Perancis sebagai bagian dari upaya solidaritas yang diinginkan oleh Presiden Macron untuk membantu masyarakat Indonesia dalam menghentikan pandemi. “Untuk memenangkan perang melawan COVID-19 ini, akses ke vaksin harus secara global dan setara,” Kata Duta Besar Perancis untuk Indonesia tersebut. Menteri Luar Negeri, Retno Marsudi menyampaikan apresiasi dan terima kasihnya kepada pemerintah Perancis atas dose-sharing kepada Indonesia. Selain terus menyuarakan kesetaraan akses vaksin untuk semua negara, Menlu Retno juga menyebut, Indonesia berada di garda depan dalam memberikan masukan bagi upaya penataan ulang arsitektur kesehatan dunia agar dunia lebih siap hadapi tantangan kesehatan di masa mendatang. Sebagai tambahan informasi, per 2 Oktober 2021, sudah 44% dari sasaran vaksinasi yang mendapatkan dosis pertama dan 25,2% sudah mendapatkan dosis lengkap. Untuk kelompok lansia, sudah sebanyak 6,6 juta orang yang mendapatkan dosis pertama dan 4,4 juta diantaranya sudah mendapatkan dosis lengkap."
E,"Buku resep ini disusun oleh Naji Iijima, seorang food stylist terkenal untuk penataan makanan pada iklan televisi dan film, yang juga pengarang dari buku “Reel Cuisine: Blockbuster Dishes from the Silver Screen”. Masakan yang dijabarkan dalam buku One Piece: Pirates Recipe ini dibuat dengan cara yang mudah dimengerti dan menggunakan bahan-bahan yang mudah didapat. Dikutip dari onepiece.fandom.com, makanan kesukaan Luffy yaitu daging tulang atau Meat on the Bone, tentunya masuk dalam buku resep ini. Selain itu, ada nasi goreng spesial untuk Gin atau Gin’s Takeout Stirfry yang terinspirasi dari volume 8 bagian 69. Lalu ada White Sea Dish - Skyfish Sautee (volume 26 bagian 237), Dessert-Trekking Pirate Lunchbox (volume 18 bagian 162) , dan Split-the-Booty Sandwiches (volume 32 bagian 302). Total semuanya ada 40 resep masakan yang terinspirasi dari bagian cerita Baratie Arch sampai Fish-Man Island Arc. Selain itu, ada juga bonus informasi tentang kebiasaan makan Eiichiro Oda, sang mangaka pencipta One Piece. Dan juga makanan yang biasanya dimakan oleh Oda di rumah atau di tempat kerjanya bersama para asisten."
F,"Salah satu permainan di Indonesia yang paling banyak peminatnya adalah sepak bola. Bahkan permainan yang satu ini boleh dibilang yang paling banyak diminati, mengingat di setiap pertandingan yang ada tidak pernah luput dari banyaknya penonton. Sepak bola selain menjadi ajang olahraga, juga menjadi ajang hiburan bagi sebagian orang. Salah satu buktinya, banyak ditemukan cewek cowok yang mungkin tidak jago bermain bola namun rela berdesak-desakan ke stadion untuk nonton atau mendukung tim kesayangan. Nah agar punya insight lebih tentang permainan sepak bola, mari kita ketahui penjelasan lengkap seputar pengertian sepak bola, sejarah, peraturan, teknik dasar, manfaat hingga tokoh-tokoh sepak bola terkenal di Indonesia. Permainan sepak bola melibatkan pergerakan unsur fisik, mental, motorik kasar dan motorik halus, serta di bangun dengan kekuatan tim yang solid. Pergerakan semua unsur tersebut dilakukan untuk menjaga pergerakan bola tetap dinamis dan melewati garis gawang."
G,"KOMPAS.com - WhatsApp, Instagram, dan Facebook mengalami down secara bersamaan, Senin (4/10/2021).  Gangguan dialami semua pengguna di hampir seluruh negara.  Di Indonesia, pengguna melaporkan adanya gangguan sejak pukul 22.46 WIB. ""Kami menyadari bahwa beberapa orang mengalami kesulitan mengakses aplikasi dan produk kami. Kami sedang berupaya agar semuanya kembali normal secepat mungkin, dan kami mohon maaf atas ketidaknyamanan ini,"" kata akun Facebook mengakui mereka mengalami gangguan dan sedang dalam upaya untuk memperbaikinya. ""Kami menyadari bahwa beberapa orang mengalami masalah dengan WhatsApp saat ini. Kami sedang berusaha untuk mengembalikan semuanya menjadi normal dan akan mengirimkan pembaruan di sini sesegera mungkin. Terima kasih atas kesabaran Anda!,"" tulis WhatsApp. Hal serupa juga diungkapnya oleh pihak akun Twitter Instagram. ""Instagram dan teman-teman sedang mengalami sedikit kesulitan saat ini, dan Anda mungkin mengalami masalah saat menggunakannya. Bersabarlah bersama kami, kami siap!#instagramdown,"" twit tersebut. Dilaporkan gangguan di sejumlah negara WhatsApp, Instagram, dan Facebook dilaporkan down atau mengalami gangguan, Senin (4/10/2021) sekitar pukul 22.46 WIB. Hal itu seperti tercatat di laman downdetector. Sejumlah warganet mengeluhkan tidak dapat mengirim pesan melalui WhatsApp. ""Waduh eror pdhal lg chat penting,"" ujar Galih di laman downdetector. ""Pesan tidak terkirim melalui WA ataupun WA Business,"" tulis David. Tagar WhatsApp, #Instagramdown, dan #Facebookdown juga memuncaki daftar trendik topik Twitter. Sedikitnya ada lebih dari 850.000 warganet Twitter yang mengeluhkan gangguan pada aplikasi WhatsApp mereka. Sementara yang mentwit dengan tagar #Instagramdown ada lebih dari 40.000 dan #Instgramdown ada 20.000 kali.  Hingga saat ini WhatsApp, Instagram, dan Facebook masih down dan belum dapat diakses oleh penggunanya. "
H,"Zaman sekarang sudah canggih, era digitalisasi untuk berkomunikasi dari Sabang sampai Merauke pun tidaklah sulit. Bagi anak-anak yang tumbuh di era digitalisasi sekarang, anak umur belum genap satu tahunpun sudah bisa menggeser gawai. YouTube sebagai emaknya tiktok sebagai bapaknya. Sekolah dari TK sampai dengan SMA bahkan perguruan tinggi pun tinggal klik tugas digawainya. Fenomena ini lebih gencarnya lagi saat ini di masa Pandemi Covid-19 yang mana kita tidak boleh berkumpul-kumpul, harus jaga jarak, mematuhi aturan protokol Covid-19 dari pemerintah. Sekolah tidak bisa melaksanakan pembelajaran tatap muka bertemu secara langsung dari awal tahun 2020 sampai dengan sekarang memasuki tahun 2021. Hal yang menjadi solusi bagi masa Pandemi Covid-19 ini untuk anak-anak dari TK sampai dengan SMA yaitu belajar di rumah (BDR). Terlihat di sosial media, guru dengan gencarnya memberikan materi untuk peserta didiknya melewati zoom, google classroom, zenius, pesan WhatsApp, bahkan aplikasi lainnya. Guru mengembangkan pembelajaran walaupun tidak tatap muka langsung melainkan lewat era digitalisasi tadi. Lalu bagaimana sekolah yang di desa? Guru yang mengajar di desa pun ingin memberikan pembelajaran era digitalisasi seperti sekolah di kota. Tetapi bagaimana? Banyak hambatan bagi guru di desa untuk menerapkan pembelajaran daring pembelajaran yang menggunakan akses internet. Sekolah di desa terpencil peserta didik yang memiliki gawai hanya bisa dihitung jari. Contohnya dari 61 peserta didik yang memiliki gawai handphone android hanya 10 orang. "
I,"Pernah mengalami instagram lemot, error atau down? Hari ini IG telah menjadi media sosial terbesar yang memiliki jutaan user di seluruh pelosok bumi. Jadi apabila kamu pernah mengalami gangguan media sosial (tidak hanya instagram saja), maka terdapat beberapa faktor penyebab hal tersebut bisa terjadi. Dan kali ini kosngosan akan membahasnya untuk kalian. Instagram bisa saja lemot, eror atau bermasalah ketika diakses menggunakan iPhone, Android phone atau dari PC dan komputer. Permasalahannya adalah mengapa hal ini bisa terjadi? mengingat IG kini sudah dimiliki oleh Facebook, tentu saja manajemen dan sumberdaya teknologi yang dimilikinya juga sudah sekelas wahid. Namun tidak bisa dipungkiri bahwa yang namanya media sosial pernah mengalami permasalahan. Ada yang berasal dari server media sosial itu sendiri, kebijakan suatu negara atau justru permasalahan internal pada perangkat pengguna seperti di smartphone Xiaomi, Oppo, Vivo, Samsung atau yang lain. Saat ini Instagram memang menjadi salah satu media sosial yang tidak hanya untuk hiburan saja, ja tetapi juga digunakan untuk menggeruk bisnis, menjaga eksistensi dan juga sebagai sarana publik figur untuk menjaga hubungan baik dengan para followernya. Kamu bisa mengakses Instagram melalui aplikasi, yaitu kamu bisa mendownload aplikasi yang sudah tersedia di Google Store atau di Apple store kemudian menginstalnya di perangkat mu, atau langsung mengunjungi di situs instagram.com. Berbeda lagi apabila sobat kosngosan mengunjungi Instagram menggunakan perangkat komputer atau laptop. Karena memang pada dasarnya media sosial ini untuk pengguna smartphone, jadi ketika sobat kosngosan membukanya lewat komputer atau laptop kamu tidak akan bisa mengupload foto atau video dengan cara biasa."
J,"Jakarta, 13 Agustus 2021 Pemerintah Indonesia telah menerima hibah vaksin COVID-19 Moderna dari Covax Facility sebanyak 8 juta dosis. Vaksin COVID-19 ini sudah mulai diberikan kepada tenaga kesehatan (nakes) dan tenaga penunjang kesehatan sebagai vaksin dosis ketiga. Peningkatan kasus terkonfirmasi COVID-19 yang tinggi mendorong Pemerintah untuk secara khusus memberikan perlindungan tambahan kepada nakes yang sehari-hari dihadapkan dengan risiko tinggi penularan COVID-19. Pemberian vaksinasi dosis ketiga bagi nakes ini juga telah mendapatkan rekomendasi dari Komite Penasihat Ahli Imunisasi Nasional atau ITAGI berdasarkan hasil kajian yang dilakukan dan disampaikan kepada Kementerian Kesehatan melalui surat nomor 71/ITAGI/Adm/VII/2021 tanggal 8 Juli 2021. Selain untuk vaksinasi dosis ketiga bagi nakes, Kementerian Kesehatan (Kemenkes) juga telah mengeluarkan kebijakan bahwa vaksin COVID-19 Moderna diberikan kepada peserta yang belum pernah mendapatkan vaksinasi COVID-19. “Kami menghimbau kepada pemerintah daerah untuk memberikan vaksin merek Moderna sebagai dosis ketiga hanya kepada nakes. Selain untuk nakes, vaksin COVID-19 Moderna juga diperuntukkan bagi publik, khususnya ibu hamil dan masyarakat yang memiliki komorbid, yang belum pernah mendapatkan vaksinasi sama sekali,” terang dr. Siti Nadia Tarmizi M.Epid, Juru Bicara Vaksinasi COVID-19 Kemenkes RI. Pada Surat Edaran HK.02.01/I/ 1919 /2021, Kemenkes menjelaskan bahwa vaksinasi dosis ketiga bagi nakes dapat menggunakan vaksin dengan platform yang sama (Sinovac) atau platform yang berbeda (Moderna), dengan interval minimal pemberian vaksinasi dosis ketiga adalah 3 bulan setelah dosis kedua diberikan. Khusus bagi masyarakat yang belum pernah menerima vaksinasi, vaksin COVID-19 Moderna diberikan sebanyak 2 (dua) dosis dengan interval 4 minggu, sehingga vaksin yang dialokasikan pada minggu ke 2 Agustus 2021 ini untuk memenuhi kebutuhan 2 (dua) dosis sekaligus. Sementara itu, vaksinasi bagi ibu hamil yang dimulai per 2 Agustus 2021 itu direkomendasikan untuk ibu hamil dengan prioritas pada daerah risiko tinggi. Vaksin yang direkomendasikan selain Moderna adalah Pfizer dan Sinovac sesuai ketersediaan. Untuk pemberian dosis satu vaksinasi COVID-19 bagi ibu hamil dimulai pada trimester kedua kehamilan, dan untuk pemberian dosis kedua dilakukan sesuai dengan interval dari jenis vaksin yang diberikan. Misalnya untuk vaksin merek Moderna, interval dosis 1 dan 2 adalah 4 minggu. Hotline Virus Corona 119 ext 9. Berita ini disiarkan oleh Biro Komunikasi dan Pelayanan Masyarakat, Kementerian Kesehatan RI. Untuk informasi lebih lanjut dapat menghubungi nomor hotline Halo Kemenkes melalui nomor hotline 1500-567, SMS 081281562620, faksimili (021) 5223002, 52921669, dan alamat email kontak@kemkes.go.id. Kepala Biro Komunikasi dan Pelayanan Masyarakat"
